County,State,Estimated_Usage_2016,County_State
Lincoln County,Kentucky,209.15,Lincoln County_Kentucky
Livingston County,Kentucky,78.89,Livingston County_Kentucky
Logan County,Kentucky,228.83,Logan County_Kentucky
Lyon County,Kentucky,69.36,Lyon County_Kentucky
McCracken County,Kentucky,560.62,McCracken County_Kentucky
McCreary County,Kentucky,150.51,McCreary County_Kentucky
McLean County,Kentucky,80.23,McLean County_Kentucky
Madison County,Kentucky,768.5,Madison County_Kentucky
Magoffin County,Kentucky,108.67,Magoffin County_Kentucky
Marion County,Kentucky,164.33,Marion County_Kentucky
Marshall County,Kentucky,268.32,Marshall County_Kentucky
Martin County,Kentucky,102.63,Martin County_Kentucky
Mason County,Kentucky,147.42,Mason County_Kentucky
Meade County,Kentucky,240.11,Meade County_Kentucky
Menifee County,Kentucky,55.29,Menifee County_Kentucky
Mercer County,Kentucky,183.96,Mercer County_Kentucky
Metcalfe County,Kentucky,85.86,Metcalfe County_Kentucky
Monroe County,Kentucky,90.43,Monroe County_Kentucky
Montgomery County,Kentucky,237.48,Montgomery County_Kentucky
Morgan County,Kentucky,113.69,Morgan County_Kentucky
Muhlenberg County,Kentucky,267.28,Muhlenberg County_Kentucky
Nelson County,Kentucky,390.35,Nelson County_Kentucky
Nicholas County,Kentucky,60.77,Nicholas County_Kentucky
Ohio County,Kentucky,207.21,Ohio County_Kentucky
Oldham County,Kentucky,561.04,Oldham County_Kentucky
Owen County,Kentucky,91.45,Owen County_Kentucky
Owsley County,Kentucky,38.38,Owsley County_Kentucky
Pendleton County,Kentucky,125.02,Pendleton County_Kentucky
Perry County,Kentucky,232.72,Perry County_Kentucky
Pike County,Kentucky,518.42,Pike County_Kentucky
Powell County,Kentucky,105.17,Powell County_Kentucky
Pulaski County,Kentucky,549.34,Pulaski County_Kentucky
Robertson County,Kentucky,18.23,Robertson County_Kentucky
Rockcastle County,Kentucky,144.74,Rockcastle County_Kentucky
Rowan County,Kentucky,209.68,Rowan County_Kentucky
Russell County,Kentucky,152.44,Russell County_Kentucky
Scott County,Kentucky,458.18,Scott County_Kentucky
Shelby County,Kentucky,401.22,Shelby County_Kentucky
Simpson County,Kentucky,154.48,Simpson County_Kentucky
Spencer County,Kentucky,156.45,Spencer County_Kentucky
Taylor County,Kentucky,218.29,Taylor County_Kentucky
Todd County,Kentucky,105.99,Todd County_Kentucky
Trigg County,Kentucky,122.73,Trigg County_Kentucky
Trimble County,Kentucky,73.93,Trimble County_Kentucky
Union County,Kentucky,126.95,Union County_Kentucky
Warren County,Kentucky,1085.32,Warren County_Kentucky
Washington County,Kentucky,104.14,Washington County_Kentucky
Wayne County,Kentucky,177.81,Wayne County_Kentucky
Webster County,Kentucky,113.33,Webster County_Kentucky
Whitley County,Kentucky,309.77,Whitley County_Kentucky
Wolfe County,Kentucky,61.72,Wolfe County_Kentucky
Woodford County,Kentucky,224.05,Woodford County_Kentucky
Acadia Parish,Louisiana,538.77,Acadia Parish_Louisiana
Allen Parish,Louisiana,220.45,Allen Parish_Louisiana
Ascension Parish,Louisiana,1042.65,Ascension Parish_Louisiana
Assumption Parish,Louisiana,195.2,Assumption Parish_Louisiana
Avoyelles Parish,Louisiana,351.76,Avoyelles Parish_Louisiana
Beauregard Parish,Louisiana,317.17,Beauregard Parish_Louisiana
Bienville Parish,Louisiana,118.23,Bienville Parish_Louisiana
Bossier Parish,Louisiana,1080.76,Bossier Parish_Louisiana
Caddo Parish,Louisiana,2135.45,Caddo Parish_Louisiana
Calcasieu Parish,Louisiana,1720.13,Calcasieu Parish_Louisiana
Caldwell Parish,Louisiana,86.44,Caldwell Parish_Louisiana
Cameron Parish,Louisiana,59.16,Cameron Parish_Louisiana
Catahoula Parish,Louisiana,84.65,Catahoula Parish_Louisiana
Claiborne Parish,Louisiana,138.54,Claiborne Parish_Louisiana
Concordia Parish,Louisiana,171.37,Concordia Parish_Louisiana
De Soto Parish,Louisiana,233.36,De Soto Parish_Louisiana
East Baton Rouge Parish,Louisiana,3826.95,East Baton Rouge Parish_Louisiana
East Carroll Parish,Louisiana,62.09,East Carroll Parish_Louisiana
East Feliciana Parish,Louisiana,167.55,East Feliciana Parish_Louisiana
Evangeline Parish,Louisiana,288.65,Evangeline Parish_Louisiana
Franklin Parish,Louisiana,174.78,Franklin Parish_Louisiana
Grant Parish,Louisiana,191.18,Grant Parish_Louisiana
Iberia Parish,Louisiana,626.41,Iberia Parish_Louisiana
Iberville Parish,Louisiana,282.02,Iberville Parish_Louisiana
Jackson Parish,Louisiana,136.41,Jackson Parish_Louisiana
Jefferson Parish,Louisiana,3747.33,Jefferson Parish_Louisiana
Jefferson Davis Parish,Louisiana,269.26,Jefferson Davis Parish_Louisiana
Lafayette Parish,Louisiana,2069.59,Lafayette Parish_Louisiana
Lafourche Parish,Louisiana,845.32,Lafourche Parish_Louisiana
LaSalle Parish,Louisiana,129.01,LaSalle Parish_Louisiana
Lincoln Parish,Louisiana,407.42,Lincoln Parish_Louisiana
Livingston Parish,Louisiana,1200.95,Livingston Parish_Louisiana
Madison Parish,Louisiana,98.53,Madison Parish_Louisiana
Morehouse Parish,Louisiana,222.31,Morehouse Parish_Louisiana
Natchitoches Parish,Louisiana,334.67,Natchitoches Parish_Louisiana
Orleans Parish,Louisiana,3363.18,Orleans Parish_Louisiana
Ouachita Parish,Louisiana,1346.36,Ouachita Parish_Louisiana
Plaquemines Parish,Louisiana,200.18,Plaquemines Parish_Louisiana
Pointe Coupee Parish,Louisiana,189.83,Pointe Coupee Parish_Louisiana
Rapides Parish,Louisiana,1131.52,Rapides Parish_Louisiana
Red River Parish,Louisiana,73.97,Red River Parish_Louisiana
Richland Parish,Louisiana,175.47,Richland Parish_Louisiana
Sabine Parish,Louisiana,206.5,Sabine Parish_Louisiana
St. Bernard Parish,Louisiana,392.75,St. Bernard Parish_Louisiana
St. Charles Parish,Louisiana,453.08,St. Charles Parish_Louisiana
St. Helena Parish,Louisiana,89.34,St. Helena Parish_Louisiana
St. James Parish,Louisiana,183.84,St. James Parish_Louisiana
St. John the Baptist Parish,Louisiana,372.72,St. John the Baptist Parish_Louisiana
St. Landry Parish,Louisiana,718.42,St. Landry Parish_Louisiana
St. Martin Parish,Louisiana,461.93,St. Martin Parish_Louisiana
St. Mary Parish,Louisiana,446.67,St. Mary Parish_Louisiana
St. Tammany Parish,Louisiana,2165.51,St. Tammany Parish_Louisiana
Tangipahoa Parish,Louisiana,1121.04,Tangipahoa Parish_Louisiana
Tensas Parish,Louisiana,39.96,Tensas Parish_Louisiana
Terrebonne Parish,Louisiana,969.18,Terrebonne Parish_Louisiana
Union Parish,Louisiana,193.36,Union Parish_Louisiana
Vermilion Parish,Louisiana,515.6,Vermilion Parish_Louisiana
Vernon Parish,Louisiana,441.44,Vernon Parish_Louisiana
Washington Parish,Louisiana,398.14,Washington Parish_Louisiana
Webster Parish,Louisiana,341.04,Webster Parish_Louisiana
West Baton Rouge Parish,Louisiana,222.27,West Baton Rouge Parish_Louisiana
West Carroll Parish,Louisiana,95.49,West Carroll Parish_Louisiana
West Feliciana Parish,Louisiana,131.31,West Feliciana Parish_Louisiana
Winn Parish,Louisiana,124.71,Winn Parish_Louisiana
Androscoggin County,Maine,921.53,Androscoggin County_Maine
Aroostook County,Maine,585.44,Aroostook County_Maine
Cumberland County,Maine,2497.98,Cumberland County_Maine
Franklin County,Maine,257.8,Franklin County_Maine
Hancock County,Maine,468.04,Hancock County_Maine
Kennebec County,Maine,1042.22,Kennebec County_Maine
Knox County,Maine,341.38,Knox County_Maine
Lincoln County,Maine,291.49,Lincoln County_Maine
Oxford County,Maine,490.76,Oxford County_Maine
Penobscot County,Maine,1298.01,Penobscot County_Maine
Piscataquis County,Maine,144.8,Piscataquis County_Maine
Sagadahoc County,Maine,301.5,Sagadahoc County_Maine
Somerset County,Maine,433.84,Somerset County_Maine
Waldo County,Maine,338.36,Waldo County_Maine
Washington County,Maine,271.21,Washington County_Maine
York County,Maine,1738.86,York County_Maine
Allegany County,Maryland,618.24,Allegany County_Maryland
Anne Arundel County,Maryland,4870.6,Anne Arundel County_Maryland
Baltimore County,Maryland,7109.57,Baltimore County_Maryland
Calvert County,Maryland,781.03,Calvert County_Maryland
Caroline County,Maryland,281.73,Caroline County_Maryland
Carroll County,Maryland,1433.81,Carroll County_Maryland
Cecil County,Maryland,880.03,Cecil County_Maryland
Charles County,Maryland,1349.95,Charles County_Maryland
Dorchester County,Maryland,276.8,Dorchester County_Maryland
Frederick County,Maryland,2121.2,Frederick County_Maryland
Garrett County,Maryland,252,Garrett County_Maryland
Harford County,Maryland,2148.11,Harford County_Maryland
Howard County,Maryland,2708.03,Howard County_Maryland
Kent County,Maryland,168.7,Kent County_Maryland
Montgomery County,Maryland,8925.36,Montgomery County_Maryland
Prince George's County,Maryland,7790.17,Prince George's County_Maryland
Queen Anne's County,Maryland,421.06,Queen Anne's County_Maryland
St. Mary's County,Maryland,958.3,St. Mary's County_Maryland
Somerset County,Maryland,221.68,Somerset County_Maryland
Talbot County,Maryland,318.52,Talbot County_Maryland
Washington County,Maryland,1284.13,Washington County_Maryland
Wicomico County,Maryland,876.33,Wicomico County_Maryland
Worcester County,Maryland,441.22,Worcester County_Maryland
Baltimore city,Maryland,5284.02,Baltimore city_Maryland
Barnstable County,Massachusetts,1831.38,Barnstable County_Massachusetts
Berkshire County,Massachusetts,1090.58,Berkshire County_Massachusetts
Bristol County,Massachusetts,4786.37,Bristol County_Massachusetts
Dukes County,Massachusetts,148.57,Dukes County_Massachusetts
Essex County,Massachusetts,6695.59,Essex County_Massachusetts
Franklin County,Massachusetts,606.85,Franklin County_Massachusetts
Hampden County,Massachusetts,4016.91,Hampden County_Massachusetts
Hampshire County,Massachusetts,1385.76,Hampshire County_Massachusetts
Middlesex County,Massachusetts,13687.23,Middlesex County_Massachusetts
Nantucket County,Massachusetts,95.44,Nantucket County_Massachusetts
Norfolk County,Massachusetts,5983.33,Norfolk County_Massachusetts
Plymouth County,Massachusetts,4391.83,Plymouth County_Massachusetts
Suffolk County,Massachusetts,6806.75,Suffolk County_Massachusetts
Worcester County,Massachusetts,7041.06,Worcester County_Massachusetts
Alcona County,Michigan,88.86,Alcona County_Michigan
Alger County,Michigan,78.28,Alger County_Michigan
Allegan County,Michigan,986.66,Allegan County_Michigan
Alpena County,Michigan,245.87,Alpena County_Michigan
Antrim County,Michigan,197.98,Antrim County_Michigan
Arenac County,Michigan,129.83,Arenac County_Michigan
Baraga County,Michigan,73.34,Baraga County_Michigan
Barry County,Michigan,513,Barry County_Michigan
Bay County,Michigan,896.35,Bay County_Michigan
Benzie County,Michigan,150.48,Benzie County_Michigan
Berrien County,Michigan,1325.39,Berrien County_Michigan
Branch County,Michigan,373.15,Branch County_Michigan
Calhoun County,Michigan,1152.9,Calhoun County_Michigan
Cass County,Michigan,440.05,Cass County_Michigan
Charlevoix County,Michigan,224.81,Charlevoix County_Michigan
Cheboygan County,Michigan,218.35,Cheboygan County_Michigan
Chippewa County,Michigan,323.62,Chippewa County_Michigan
Clare County,Michigan,260.69,Clare County_Michigan
Clinton County,Michigan,665.98,Clinton County_Michigan
Crawford County,Michigan,118.11,Crawford County_Michigan
Delta County,Michigan,310.6,Delta County_Michigan
Dickinson County,Michigan,218.68,Dickinson County_Michigan
Eaton County,Michigan,936.64,Eaton County_Michigan
Emmet County,Michigan,282.06,Emmet County_Michigan
Genesee County,Michigan,3508.39,Genesee County_Michigan
Gladwin County,Michigan,215.81,Gladwin County_Michigan
Gogebic County,Michigan,131.64,Gogebic County_Michigan
Grand Traverse County,Michigan,789.05,Grand Traverse County_Michigan
Gratiot County,Michigan,351.29,Gratiot County_Michigan
Hillsdale County,Michigan,392.65,Hillsdale County_Michigan
Houghton County,Michigan,312.59,Houghton County_Michigan
Huron County,Michigan,270.1,Huron County_Michigan
Ingham County,Michigan,2487.68,Ingham County_Michigan
Ionia County,Michigan,550.53,Ionia County_Michigan
Iosco County,Michigan,216.87,Iosco County_Michigan
Iron County,Michigan,95.77,Iron County_Michigan
Isabella County,Michigan,611.85,Isabella County_Michigan
Jackson County,Michigan,1358.4,Jackson County_Michigan
Kalamazoo County,Michigan,2242.11,Kalamazoo County_Michigan
Kalkaska County,Michigan,148.24,Kalkaska County_Michigan
Kent County,Michigan,5524.93,Kent County_Michigan
Keweenaw County,Michigan,18.35,Keweenaw County_Michigan
Lake County,Michigan,101.74,Lake County_Michigan
Lapeer County,Michigan,756.86,Lapeer County_Michigan
Leelanau County,Michigan,184.62,Leelanau County_Michigan
Lenawee County,Michigan,845.13,Lenawee County_Michigan
Livingston County,Michigan,1618.04,Livingston County_Michigan
Luce County,Michigan,54.38,Luce County_Michigan
Mackinac County,Michigan,91.95,Mackinac County_Michigan
Macomb County,Michigan,7453.83,Macomb County_Michigan
Manistee County,Michigan,209.49,Manistee County_Michigan
Marquette County,Michigan,570.75,Marquette County_Michigan
Mason County,Michigan,247.29,Mason County_Michigan
Mecosta County,Michigan,370.62,Mecosta County_Michigan
Menominee County,Michigan,199.02,Menominee County_Michigan
Midland County,Michigan,715.44,Midland County_Michigan
Missaukee County,Michigan,128.94,Missaukee County_Michigan
Monroe County,Michigan,1280.38,Monroe County_Michigan
Montcalm County,Michigan,540.26,Montcalm County_Michigan
Montmorency County,Michigan,78.97,Montmorency County_Michigan
Muskegon County,Michigan,1486.43,Muskegon County_Michigan
Newaygo County,Michigan,410.32,Newaygo County_Michigan
Oakland County,Michigan,10734.73,Oakland County_Michigan
Oceana County,Michigan,225.83,Oceana County_Michigan
Ogemaw County,Michigan,179.17,Ogemaw County_Michigan
Ontonagon County,Michigan,50.99,Ontonagon County_Michigan
Osceola County,Michigan,198.87,Osceola County_Michigan
Oscoda County,Michigan,70.84,Oscoda County_Michigan
Otsego County,Michigan,209.66,Otsego County_Michigan
Ottawa County,Michigan,2435.94,Ottawa County_Michigan
Presque Isle County,Michigan,109.21,Presque Isle County_Michigan
Roscommon County,Michigan,204.11,Roscommon County_Michigan
Saginaw County,Michigan,1651.88,Saginaw County_Michigan
St. Clair County,Michigan,1368.04,St. Clair County_Michigan
St. Joseph County,Michigan,521.74,St. Joseph County_Michigan
Sanilac County,Michigan,355.03,Sanilac County_Michigan
Schoolcraft County,Michigan,68.38,Schoolcraft County_Michigan
Shiawassee County,Michigan,588,Shiawassee County_Michigan
Tuscola County,Michigan,457.13,Tuscola County_Michigan
Van Buren County,Michigan,645.77,Van Buren County_Michigan
Washtenaw County,Michigan,3144.49,Washtenaw County_Michigan
Wayne County,Michigan,15101.71,Wayne County_Michigan
Wexford County,Michigan,283.85,Wexford County_Michigan
Aitkin County,Minnesota,135.2,Aitkin County_Minnesota
Anoka County,Minnesota,2974.4,Anoka County_Minnesota
Becker County,Minnesota,289.31,Becker County_Minnesota
Beltrami County,Minnesota,394.82,Beltrami County_Minnesota
Benton County,Minnesota,340.37,Benton County_Minnesota
Big Stone County,Minnesota,42.92,Big Stone County_Minnesota
Blue Earth County,Minnesota,569.23,Blue Earth County_Minnesota
Brown County,Minnesota,216.75,Brown County_Minnesota
Carlton County,Minnesota,305.06,Carlton County_Minnesota
Carver County,Minnesota,861.27,Carver County_Minnesota
Cass County,Minnesota,248.95,Cass County_Minnesota
Chippewa County,Minnesota,103.3,Chippewa County_Minnesota
Chisago County,Minnesota,468.37,Chisago County_Minnesota
Clay County,Minnesota,540.4,Clay County_Minnesota
Clearwater County,Minnesota,75.76,Clearwater County_Minnesota
Cook County,Minnesota,45.55,Cook County_Minnesota
Cottonwood County,Minnesota,97.61,Cottonwood County_Minnesota
Crow Wing County,Minnesota,546.88,Crow Wing County_Minnesota
Dakota County,Minnesota,3584.16,Dakota County_Minnesota
Dodge County,Minnesota,176.36,Dodge County_Minnesota
Douglas County,Minnesota,318.72,Douglas County_Minnesota
Faribault County,Minnesota,119,Faribault County_Minnesota
Fillmore County,Minnesota,179.34,Fillmore County_Minnesota
Freeborn County,Minnesota,260.91,Freeborn County_Minnesota
Goodhue County,Minnesota,396.84,Goodhue County_Minnesota
Grant County,Minnesota,50.91,Grant County_Minnesota
Hennepin County,Minnesota,10603.88,Hennepin County_Minnesota
Houston County,Minnesota,160.4,Houston County_Minnesota
Hubbard County,Minnesota,177.61,Hubbard County_Minnesota
Isanti County,Minnesota,332.71,Isanti County_Minnesota
Itasca County,Minnesota,387.51,Itasca County_Minnesota
Jackson County,Minnesota,85.52,Jackson County_Minnesota
Kanabec County,Minnesota,136.45,Kanabec County_Minnesota
Kandiyohi County,Minnesota,365.82,Kandiyohi County_Minnesota
Kittson County,Minnesota,37.03,Kittson County_Minnesota
Koochiching County,Minnesota,108.19,Koochiching County_Minnesota
Lac qui Parle County,Minnesota,57.8,Lac qui Parle County_Minnesota
Lake County,Minnesota,90.3,Lake County_Minnesota
Lake of the Woods County,Minnesota,32.52,Lake of the Woods County_Minnesota
Le Sueur County,Minnesota,237.84,Le Sueur County_Minnesota
Lincoln County,Minnesota,48.94,Lincoln County_Minnesota
Lyon County,Minnesota,223.08,Lyon County_Minnesota
McLeod County,Minnesota,306.88,McLeod County_Minnesota
Mahnomen County,Minnesota,47.1,Mahnomen County_Minnesota
Marshall County,Minnesota,80.4,Marshall County_Minnesota
Martin County,Minnesota,170.76,Martin County_Minnesota
Meeker County,Minnesota,197.79,Meeker County_Minnesota
Mille Lacs County,Minnesota,219.5,Mille Lacs County_Minnesota
Morrison County,Minnesota,282.34,Morrison County_Minnesota
Mower County,Minnesota,338.65,Mower County_Minnesota
Murray County,Minnesota,71.28,Murray County_Minnesota
Nicollet County,Minnesota,289.42,Nicollet County_Minnesota
Nobles County,Minnesota,188.44,Nobles County_Minnesota
Norman County,Minnesota,56.02,Norman County_Minnesota
Olmsted County,Minnesota,1313.92,Olmsted County_Minnesota
Otter Tail County,Minnesota,496.48,Otter Tail County_Minnesota
Pennington County,Minnesota,121.9,Pennington County_Minnesota
Pine County,Minnesota,247.59,Pine County_Minnesota
Pipestone County,Minnesota,78.88,Pipestone County_Minnesota
Polk County,Minnesota,272.14,Polk County_Minnesota
Pope County,Minnesota,94.06,Pope County_Minnesota
Ramsey County,Minnesota,4649.91,Ramsey County_Minnesota
Red Lake County,Minnesota,34.23,Red Lake County_Minnesota
Redwood County,Minnesota,130.5,Redwood County_Minnesota
Renville County,Minnesota,125.3,Renville County_Minnesota
Rice County,Minnesota,564.78,Rice County_Minnesota
Rock County,Minnesota,80.51,Rock County_Minnesota
Roseau County,Minnesota,133.45,Roseau County_Minnesota
St. Louis County,Minnesota,1715.37,St. Louis County_Minnesota
Scott County,Minnesota,1229.87,Scott County_Minnesota
Sherburne County,Minnesota,800.23,Sherburne County_Minnesota
Sibley County,Minnesota,127.11,Sibley County_Minnesota
Stearns County,Minnesota,1347.03,Stearns County_Minnesota
Steele County,Minnesota,314.56,Steele County_Minnesota
Stevens County,Minnesota,83.95,Stevens County_Minnesota
Swift County,Minnesota,81.06,Swift County_Minnesota
Todd County,Minnesota,209.26,Todd County_Minnesota
Traverse County,Minnesota,28.51,Traverse County_Minnesota
Wabasha County,Minnesota,183.83,Wabasha County_Minnesota
Wadena County,Minnesota,116.27,Wadena County_Minnesota
Waseca County,Minnesota,161.12,Waseca County_Minnesota
Washington County,Minnesota,2167.75,Washington County_Minnesota
Watonwan County,Minnesota,94.23,Watonwan County_Minnesota
Wilkin County,Minnesota,54.24,Wilkin County_Minnesota
Winona County,Minnesota,436.21,Winona County_Minnesota
Wright County,Minnesota,1135.51,Wright County_Minnesota
Yellow Medicine County,Minnesota,84.81,Yellow Medicine County_Minnesota
Adams County,Mississippi,270.81,Adams County_Mississippi
Alcorn County,Mississippi,319.6,Alcorn County_Mississippi
Amite County,Mississippi,106.62,Amite County_Mississippi
Attala County,Mississippi,159.24,Attala County_Mississippi
Benton County,Mississippi,70.81,Benton County_Mississippi
Bolivar County,Mississippi,279.98,Bolivar County_Mississippi
Calhoun County,Mississippi,124.88,Calhoun County_Mississippi
Carroll County,Mississippi,87.36,Carroll County_Mississippi
Chickasaw County,Mississippi,147.86,Chickasaw County_Mississippi
Choctaw County,Mississippi,71.2,Choctaw County_Mississippi
Claiborne County,Mississippi,78.62,Claiborne County_Mississippi
Clarke County,Mississippi,136.46,Clarke County_Mississippi
Clay County,Mississippi,170.34,Clay County_Mississippi
Coahoma County,Mississippi,204.57,Coahoma County_Mississippi
Copiah County,Mississippi,245.93,Copiah County_Mississippi
Covington County,Mississippi,164.46,Covington County_Mississippi
DeSoto County,Mississippi,1507.59,DeSoto County_Mississippi
Forrest County,Mississippi,649.4,Forrest County_Mississippi
Franklin County,Mississippi,66.14,Franklin County_Mississippi
George County,Mississippi,202.82,George County_Mississippi
Greene County,Mississippi,116.34,Greene County_Mississippi
Grenada County,Mississippi,182.1,Grenada County_Mississippi
Hancock County,Mississippi,400.23,Hancock County_Mississippi
Harrison County,Mississippi,1737.73,Harrison County_Mississippi
Hinds County,Mississippi,2078.36,Hinds County_Mississippi
Holmes County,Mississippi,154.6,Holmes County_Mississippi
Humphreys County,Mississippi,73.69,Humphreys County_Mississippi
Issaquena County,Mississippi,11.38,Issaquena County_Mississippi
Itawamba County,Mississippi,200.96,Itawamba County_Mississippi
Jackson County,Mississippi,1214.96,Jackson County_Mississippi
Jasper County,Mississippi,142.27,Jasper County_Mississippi
Jefferson County,Mississippi,62.73,Jefferson County_Mississippi
Jefferson Davis County,Mississippi,98.24,Jefferson Davis County_Mississippi
Jones County,Mississippi,587.41,Jones County_Mississippi
Kemper County,Mississippi,86.17,Kemper County_Mississippi
Lafayette County,Mississippi,458.96,Lafayette County_Mississippi
Lamar County,Mississippi,525.72,Lamar County_Mississippi
Lauderdale County,Mississippi,663.8,Lauderdale County_Mississippi
Lawrence County,Mississippi,109.76,Lawrence County_Mississippi
Leake County,Mississippi,195.58,Leake County_Mississippi
Lee County,Mississippi,727.88,Lee County_Mississippi
Leflore County,Mississippi,255.68,Leflore County_Mississippi
Lincoln County,Mississippi,294.92,Lincoln County_Mississippi
Lowndes County,Mississippi,511.01,Lowndes County_Mississippi
Madison County,Mississippi,891.4,Madison County_Mississippi
Marion County,Mississippi,215.36,Marion County_Mississippi
Marshall County,Mississippi,307.05,Marshall County_Mississippi
Monroe County,Mississippi,308,Monroe County_Mississippi
Montgomery County,Mississippi,87.83,Montgomery County_Mississippi
Neshoba County,Mississippi,252.73,Neshoba County_Mississippi
Newton County,Mississippi,184.19,Newton County_Mississippi
Noxubee County,Mississippi,93.32,Noxubee County_Mississippi
Oktibbeha County,Mississippi,424.99,Oktibbeha County_Mississippi
Panola County,Mississippi,293.79,Panola County_Mississippi
Pearl River County,Mississippi,472.22,Pearl River County_Mississippi
Perry County,Mississippi,103.45,Perry County_Mississippi
Pike County,Mississippi,340.1,Pike County_Mississippi
Pontotoc County,Mississippi,269.86,Pontotoc County_Mississippi
Prentiss County,Mississippi,217.89,Prentiss County_Mississippi
Quitman County,Mississippi,63.22,Quitman County_Mississippi
Rankin County,Mississippi,1300.11,Rankin County_Mississippi
Scott County,Mississippi,243.32,Scott County_Mississippi
Sharkey County,Mississippi,38.75,Sharkey County_Mississippi
Simpson County,Mississippi,231.58,Simpson County_Mississippi
Smith County,Mississippi,136.81,Smith County_Mississippi
Stone County,Mississippi,155.99,Stone County_Mississippi
Sunflower County,Mississippi,227.33,Sunflower County_Mississippi
Tallahatchie County,Mississippi,123.27,Tallahatchie County_Mississippi
Tate County,Mississippi,243,Tate County_Mississippi
Tippah County,Mississippi,189.11,Tippah County_Mississippi
Tishomingo County,Mississippi,166.86,Tishomingo County_Mississippi
Tunica County,Mississippi,87.04,Tunica County_Mississippi
Union County,Mississippi,242.59,Union County_Mississippi
Walthall County,Mississippi,124.93,Walthall County_Mississippi
Warren County,Mississippi,403.23,Warren County_Mississippi
Washington County,Mississippi,404.86,Washington County_Mississippi
Wayne County,Mississippi,175.47,Wayne County_Mississippi
Webster County,Mississippi,83.65,Webster County_Mississippi
Wilkinson County,Mississippi,77.43,Wilkinson County_Mississippi
Winston County,Mississippi,157.32,Winston County_Mississippi
Yalobusha County,Mississippi,106.97,Yalobusha County_Mississippi
Yazoo County,Mississippi,239.6,Yazoo County_Mississippi
Adair County,Missouri,215.83,Adair County_Missouri
Andrew County,Missouri,148.92,Andrew County_Missouri
Atchison County,Missouri,45.29,Atchison County_Missouri
Audrain County,Missouri,221.78,Audrain County_Missouri
Barry County,Missouri,302.54,Barry County_Missouri
Barton County,Missouri,101.48,Barton County_Missouri
Bates County,Missouri,140.33,Bates County_Missouri
Benton County,Missouri,162.45,Benton County_Missouri
Bollinger County,Missouri,104.76,Bollinger County_Missouri
Boone County,Missouri,1515.81,Boone County_Missouri
Buchanan County,Missouri,765.01,Buchanan County_Missouri
Butler County,Missouri,366.78,Butler County_Missouri
Caldwell County,Missouri,77.65,Caldwell County_Missouri
Callaway County,Missouri,386.54,Callaway County_Missouri
Camden County,Missouri,385.44,Camden County_Missouri
Cape Girardeau County,Missouri,673.03,Cape Girardeau County_Missouri
Carroll County,Missouri,75.87,Carroll County_Missouri
Carter County,Missouri,53.25,Carter County_Missouri
Cass County,Missouri,880.7,Cass County_Missouri
Cedar County,Missouri,119.07,Cedar County_Missouri
Chariton County,Missouri,64.52,Chariton County_Missouri
Christian County,Missouri,722.1,Christian County_Missouri
Clark County,Missouri,57.82,Clark County_Missouri
Clay County,Missouri,2047.36,Clay County_Missouri
Clinton County,Missouri,176.12,Clinton County_Missouri
Cole County,Missouri,658.46,Cole County_Missouri
Cooper County,Missouri,151.82,Cooper County_Missouri
Crawford County,Missouri,208.01,Crawford County_Missouri
Dade County,Missouri,65.26,Dade County_Missouri
Dallas County,Missouri,140.46,Dallas County_Missouri
Daviess County,Missouri,70.59,Daviess County_Missouri
DeKalb County,Missouri,107.29,DeKalb County_Missouri
Dent County,Missouri,132.31,Dent County_Missouri
Douglas County,Missouri,114.57,Douglas County_Missouri
Dunklin County,Missouri,261.85,Dunklin County_Missouri
Franklin County,Missouri,881.39,Franklin County_Missouri
Gasconade County,Missouri,126.56,Gasconade County_Missouri
Gentry County,Missouri,56.87,Gentry County_Missouri
Greene County,Missouri,2469.88,Greene County_Missouri
Grundy County,Missouri,86.69,Grundy County_Missouri
Harrison County,Missouri,73.59,Harrison County_Missouri
Henry County,Missouri,185.35,Henry County_Missouri
Hickory County,Missouri,80.27,Hickory County_Missouri
Holt County,Missouri,38.21,Holt County_Missouri
Howard County,Missouri,86.13,Howard County_Missouri
Howell County,Missouri,344.4,Howell County_Missouri
Iron County,Missouri,86.94,Iron County_Missouri
Jackson County,Missouri,5939.59,Jackson County_Missouri
Jasper County,Missouri,1022.72,Jasper County_Missouri
Jefferson County,Missouri,1916.31,Jefferson County_Missouri
Johnson County,Missouri,459.04,Johnson County_Missouri
Knox County,Missouri,33.75,Knox County_Missouri
Laclede County,Missouri,303.92,Laclede County_Missouri
Lafayette County,Missouri,278.99,Lafayette County_Missouri
Lawrence County,Missouri,327.33,Lawrence County_Missouri
Lewis County,Missouri,86.46,Lewis County_Missouri
Lincoln County,Missouri,473.54,Lincoln County_Missouri
Linn County,Missouri,104.08,Linn County_Missouri
Livingston County,Missouri,129.79,Livingston County_Missouri
McDonald County,Missouri,195.09,McDonald County_Missouri
Macon County,Missouri,130,Macon County_Missouri
Madison County,Missouri,104.82,Madison County_Missouri
Maries County,Missouri,75.86,Maries County_Missouri
Marion County,Missouri,246.17,Marion County_Missouri
Mercer County,Missouri,31.41,Mercer County_Missouri
Miller County,Missouri,214.47,Miller County_Missouri
Mississippi County,Missouri,117.7,Mississippi County_Missouri
Moniteau County,Missouri,137.07,Moniteau County_Missouri
Monroe County,Missouri,74.04,Monroe County_Missouri
