County,State,pop_2016,pop_2017,pop_2018
Norman County,Minnesota,6529,6585,6475
Olmsted County,Minnesota,153137,154519,156277
Otter Tail County,Minnesota,57865,58251,58812
Pennington County,Minnesota,14207,14191,14178
Pine County,Minnesota,28857,29184,29483
Pipestone County,Minnesota,9193,9096,9047
Polk County,Minnesota,31718,31705,31529
Pope County,Minnesota,10963,10985,11097
Ramsey County,Minnesota,541944,545518,550210
Red Lake County,Minnesota,3990,4022,3999
Redwood County,Minnesota,15210,15243,15249
Renville County,Minnesota,14604,14667,14612
Rice County,Minnesota,65825,66173,66523
Rock County,Minnesota,9383,9453,9414
Roseau County,Minnesota,15554,15311,15150
St. Louis County,Minnesota,199925,199798,199754
Scott County,Minnesota,143340,145595,147381
Sherburne County,Minnesota,93266,94547,96036
Sibley County,Minnesota,14815,14904,15028
Stearns County,Minnesota,156996,157979,159256
Steele County,Minnesota,36662,36824,36803
Stevens County,Minnesota,9784,9672,9753
Swift County,Minnesota,9447,9396,9345
Todd County,Minnesota,24389,24532,24582
Traverse County,Minnesota,3323,3307,3308
Wabasha County,Minnesota,21425,21590,21645
Wadena County,Minnesota,13551,13646,13773
Waseca County,Minnesota,18779,18726,18691
Washington County,Minnesota,252650,255697,259201
Watonwan County,Minnesota,10982,10916,10980
Wilkin County,Minnesota,6322,6322,6254
Winona County,Minnesota,50840,50704,50825
Wright County,Minnesota,132343,134255,136349
Yellow Medicine County,Minnesota,9885,9845,9795
Adams County,Mississippi,31563,31337,31192
Alcorn County,Mississippi,37249,37203,36925
Amite County,Mississippi,12426,12444,12326
Attala County,Mississippi,18559,18482,18365
Benton County,Mississippi,8253,8286,8271
Bolivar County,Mississippi,32631,31895,31333
Calhoun County,Mississippi,14555,14525,14436
Carroll County,Mississippi,10182,10117,9911
Chickasaw County,Mississippi,17233,17189,17171
Choctaw County,Mississippi,8298,8272,8278
Claiborne County,Mississippi,9163,9053,9002
Clarke County,Mississippi,15904,15823,15604
Clay County,Mississippi,19853,19658,19386
Coahoma County,Mississippi,23843,23185,22628
Copiah County,Mississippi,28663,28548,28543
Covington County,Mississippi,19168,19045,18853
DeSoto County,Mississippi,175709,178914,182001
Forrest County,Mississippi,75687,75263,75036
Franklin County,Mississippi,7709,7779,7788
George County,Mississippi,23638,23973,24250
Greene County,Mississippi,13559,13538,13586
Grenada County,Mississippi,21224,21056,21055
Hancock County,Mississippi,46646,47020,47334
Harrison County,Mississippi,202531,204933,206650
Hinds County,Mississippi,242232,240033,237085
Holmes County,Mississippi,18019,17849,17622
Humphreys County,Mississippi,8589,8349,8257
Issaquena County,Mississippi,1326,1341,1308
Itawamba County,Mississippi,23422,23512,23517
Jackson County,Mississippi,141603,142369,143277
Jasper County,Mississippi,16581,16556,16428
Jefferson County,Mississippi,7311,7233,7106
Jefferson Davis County,Mississippi,11450,11321,11234
Jones County,Mississippi,68462,68312,68461
Kemper County,Mississippi,10043,10119,10027
Lafayette County,Mississippi,53492,54237,54793
Lamar County,Mississippi,61272,61426,62447
Lauderdale County,Mississippi,77366,76330,75317
Lawrence County,Mississippi,12792,12631,12455
Leake County,Mississippi,22795,22832,22763
Lee County,Mississippi,84834,85034,85202
Leflore County,Mississippi,29799,29324,28919
Lincoln County,Mississippi,34373,34320,34205
Lowndes County,Mississippi,59558,59189,58930
Madison County,Mississippi,103892,104632,105630
Marion County,Mississippi,25100,25103,24715
Marshall County,Mississippi,35786,35635,35451
Monroe County,Mississippi,35897,35852,35564
Montgomery County,Mississippi,10236,10175,10023
Neshoba County,Mississippi,29455,29393,29125
Newton County,Mississippi,21467,21424,21443
Noxubee County,Mississippi,10876,10732,10535
Oktibbeha County,Mississippi,49532,49675,49599
Panola County,Mississippi,34241,34141,34178
Pearl River County,Mississippi,55037,55239,55387
Perry County,Mississippi,12057,12030,11931
Pike County,Mississippi,39638,39602,39563
Pontotoc County,Mississippi,31452,31640,31833
Prentiss County,Mississippi,25395,25241,25315
Quitman County,Mississippi,7368,7236,7051
Rankin County,Mississippi,151527,152919,153902
Scott County,Mississippi,28359,28429,28287
Sharkey County,Mississippi,4516,4423,4377
Simpson County,Mississippi,26991,26942,26758
Smith County,Mississippi,15945,16081,16002
Stone County,Mississippi,18180,18624,18717
Sunflower County,Mississippi,26495,26146,25735
Tallahatchie County,Mississippi,14367,14145,13987
Tate County,Mississippi,28322,28660,28759
Tippah County,Mississippi,22041,21942,21995
Tishomingo County,Mississippi,19448,19577,19454
Tunica County,Mississippi,10144,10002,9944
Union County,Mississippi,28274,28466,28606
Walthall County,Mississippi,14561,14523,14465
Warren County,Mississippi,46996,46752,46176
Washington County,Mississippi,47186,46202,45063
Wayne County,Mississippi,20451,20416,20298
Webster County,Mississippi,9749,9757,9788
Wilkinson County,Mississippi,9024,8858,8792
Winston County,Mississippi,18336,18242,18165
Yalobusha County,Mississippi,12467,12474,12392
Yazoo County,Mississippi,27925,28478,28248
Adair County,Missouri,25155,25306,25339
Andrew County,Missouri,17357,17449,17607
Atchison County,Missouri,5279,5248,5171
Audrain County,Missouri,25848,25600,25473
Barry County,Missouri,35261,35686,35886
Barton County,Missouri,11828,11809,11798
Bates County,Missouri,16355,16310,16320
Benton County,Missouri,18933,19068,19278
Bollinger County,Missouri,12210,12286,12169
Boone County,Missouri,176667,178523,180005
Buchanan County,Missouri,89162,88894,88571
Butler County,Missouri,42748,42609,42639
Caldwell County,Missouri,9050,9072,9108
Callaway County,Missouri,45051,44944,44889
Camden County,Missouri,44923,45449,45815
Cape Girardeau County,Missouri,78441,78285,78753
Carroll County,Missouri,8843,8794,8743
Carter County,Missouri,6206,6167,6054
Cass County,Missouri,102645,103610,104954
Cedar County,Missouri,13877,14081,14165
Chariton County,Missouri,7520,7478,7451
Christian County,Missouri,84160,85346,86983
Clark County,Missouri,6739,6727,6842
Clay County,Missouri,238618,242593,246365
Clinton County,Missouri,20527,20553,20470
Cole County,Missouri,76743,76669,76796
Cooper County,Missouri,17694,17643,17603
Crawford County,Missouri,24243,24095,23957
Dade County,Missouri,7606,7601,7569
Dallas County,Missouri,16371,16686,16762
Daviess County,Missouri,8227,8359,8313
DeKalb County,Missouri,12505,12590,12630
Dent County,Missouri,15421,15440,15441
Douglas County,Missouri,13353,13272,13373
Dunklin County,Missouri,30518,30086,29423
Franklin County,Missouri,102726,103288,103670
Gasconade County,Missouri,14751,14718,14705
Gentry County,Missouri,6628,6655,6628
Greene County,Missouri,287863,289819,291923
Grundy County,Missouri,10104,9970,9914
Harrison County,Missouri,8577,8528,8414
Henry County,Missouri,21602,21700,21792
Hickory County,Missouri,9355,9421,9509
Holt County,Missouri,4453,4409,4404
Howard County,Missouri,10038,10122,10137
Howell County,Missouri,40140,40084,40076
Iron County,Missouri,10133,10205,10177
Jackson County,Missouri,692255,697720,700307
Jasper County,Missouri,119197,120082,120636
Jefferson County,Missouri,223345,223749,224347
Johnson County,Missouri,53501,53759,53652
Knox County,Missouri,3933,3975,3947
Laclede County,Missouri,35422,35455,35713
Lafayette County,Missouri,32516,32605,32598
Lawrence County,Missouri,38150,38283,38359
Lewis County,Missouri,10077,9964,9855
Lincoln County,Missouri,55191,56134,57686
Linn County,Missouri,12131,12172,12037
Livingston County,Missouri,15127,15163,15146
McDonald County,Missouri,22738,22779,23078
Macon County,Missouri,15151,15241,15153
Madison County,Missouri,12217,12238,12188
Maries County,Missouri,8841,8823,8769
Marion County,Missouri,28691,28613,28592
Mercer County,Missouri,3661,3677,3641
Miller County,Missouri,24996,25206,25336
Mississippi County,Missouri,13718,13580,13336
Moniteau County,Missouri,15976,16022,16121
Monroe County,Missouri,8629,8610,8664
Montgomery County,Missouri,11457,11428,11534
Morgan County,Missouri,20084,20118,20358
New Madrid County,Missouri,17857,17565,17296
Newton County,Missouri,58204,58248,58266
Nodaway County,Missouri,22436,22408,22304
Oregon County,Missouri,10737,10547,10541
Osage County,Missouri,13590,13663,13714
Ozark County,Missouri,9181,9203,9017
Pemiscot County,Missouri,17072,16817,16272
Perry County,Missouri,19199,19194,19150
Pettis County,Missouri,42289,42504,42542
Phelps County,Missouri,44762,44686,44732
Pike County,Missouri,18495,18546,18504
Platte County,Missouri,98627,101219,102985
Polk County,Missouri,31396,31766,32201
Pulaski County,Missouri,52393,51846,52014
Putnam County,Missouri,4821,4796,4757
Ralls County,Missouri,10222,10222,10212
Randolph County,Missouri,24956,24932,24763
Ray County,Missouri,22720,22839,22883
Reynolds County,Missouri,6352,6268,6254
Ripley County,Missouri,13775,13569,13401
St. Charles County,Missouri,390599,395245,399182
St. Clair County,Missouri,9290,9385,9395
Ste. Genevieve County,Missouri,17891,17813,17888
St. Francois County,Missouri,66350,66653,66692
St. Louis County,Missouri,998025,996648,996945
Saline County,Missouri,23080,22924,22895
Schuyler County,Missouri,4501,4514,4599
Scotland County,Missouri,4902,4963,4966
Scott County,Missouri,38761,38566,38458
Shannon County,Missouri,8226,8239,8189
Shelby County,Missouri,6045,6017,6050
Stoddard County,Missouri,29490,29346,29206
Stone County,Missouri,31481,31658,31749
Sullivan County,Missouri,6327,6199,6221
Taney County,Missouri,54584,55125,55852
Texas County,Missouri,25801,25685,25571
Vernon County,Missouri,20652,20536,20528
Warren County,Missouri,33825,34365,34711
Washington County,Missouri,24849,25008,24943
Wayne County,Missouri,13227,13305,13122
Webster County,Missouri,38091,38683,39109
Worth County,Missouri,2015,2049,2040
Wright County,Missouri,18260,18339,18378
St. Louis city,Missouri,312389,307866,302838
Beaverhead County,Montana,9471,9453,9404
Big Horn County,Montana,13448,13444,13338
Blaine County,Montana,6707,6744,6807
Broadwater County,Montana,5785,5933,6085
Carbon County,Montana,10485,10691,10714
Carter County,Montana,1175,1223,1238
Cascade County,Montana,81536,81604,81643
Chouteau County,Montana,5778,5752,5745
Custer County,Montana,11832,11725,11586
Daniels County,Montana,1735,1739,1747
Dawson County,Montana,9254,8945,8680
Deer Lodge County,Montana,9058,9093,9131
Fallon County,Montana,3086,3008,2920
Fergus County,Montana,11333,11283,11113
Flathead County,Montana,97785,100092,102106
Gallatin County,Montana,104738,108656,111876
Garfield County,Montana,1298,1288,1268
Glacier County,Montana,13720,13675,13747
Golden Valley County,Montana,810,820,826
Granite County,Montana,3289,3358,3378
Hill County,Montana,16437,16463,16347
Jefferson County,Montana,11778,11937,12097
Judith Basin County,Montana,1939,1949,1952
Lake County,Montana,29712,30244,30250
Lewis and Clark County,Montana,66902,67849,68700
Liberty County,Montana,2411,2416,2430
Lincoln County,Montana,19253,19508,19794
McCone County,Montana,1729,1705,1675
Madison County,Montana,8073,8388,8768
Meagher County,Montana,1846,1856,1866
Mineral County,Montana,4119,4245,4316
Missoula County,Montana,116352,117863,118791
Musselshell County,Montana,4651,4645,4651
Park County,Montana,16125,16438,16736
Petroleum County,Montana,492,511,513
Phillips County,Montana,4112,4118,4074
Pondera County,Montana,6032,5980,5972
Powder River County,Montana,1745,1744,1716
Powell County,Montana,6844,6808,6968
Prairie County,Montana,1166,1112,1087
Ravalli County,Montana,41904,42548,43172
Richland County,Montana,11410,11041,10913
Roosevelt County,Montana,11219,11160,11059
Rosebud County,Montana,9246,9259,9063
Sanders County,Montana,11461,11692,11844
Sheridan County,Montana,3607,3501,3424
Silver Bow County,Montana,34714,34915,34993
Stillwater County,Montana,9382,9452,9534
Sweet Grass County,Montana,3614,3683,3710
Teton County,Montana,6023,6114,6162
Toole County,Montana,4952,4881,4853
Treasure County,Montana,680,676,679
Valley County,Montana,7539,7433,7437
Wheatland County,Montana,2127,2184,2236
Wibaux County,Montana,1041,1017,1034
Yellowstone County,Montana,157903,159229,160137
Adams County,Nebraska,31663,31774,31511
Antelope County,Nebraska,6343,6348,6336
Arthur County,Nebraska,466,455,465
Banner County,Nebraska,720,734,730
Blaine County,Nebraska,470,478,476
Boone County,Nebraska,5332,5329,5239
Box Butte County,Nebraska,11185,10860,10772
Boyd County,Nebraska,1975,1962,1955
Brown County,Nebraska,2980,3007,2973
Buffalo County,Nebraska,49215,49502,49615
Burt County,Nebraska,6535,6537,6488
Butler County,Nebraska,7996,8040,8058
Cass County,Nebraska,25630,25904,26159
Cedar County,Nebraska,8597,8515,8446
Chase County,Nebraska,3913,3944,3977
Cherry County,Nebraska,5825,5807,5761
Cheyenne County,Nebraska,10044,9657,9310
Clay County,Nebraska,6137,6204,6214
Colfax County,Nebraska,10746,10775,10881
Cuming County,Nebraska,8956,8964,8940
Custer County,Nebraska,10827,10880,10840
Dakota County,Nebraska,20302,20068,20083
Dawes County,Nebraska,8907,8885,8716
Dawson County,Nebraska,23765,23643,23709
Deuel County,Nebraska,1861,1868,1825
Dixon County,Nebraska,5738,5760,5709
Dodge County,Nebraska,36655,36794,36791
Douglas County,Nebraska,555358,560573,566880
Dundy County,Nebraska,1810,1793,1770
Fillmore County,Nebraska,5623,5564,5527
Franklin County,Nebraska,2994,2988,3023
Frontier County,Nebraska,2647,2626,2608
Furnas County,Nebraska,4763,4768,4715
Gage County,Nebraska,21608,21615,21493
Garden County,Nebraska,1907,1897,1897
Garfield County,Nebraska,1994,1999,1987
Gosper County,Nebraska,2025,2027,1996
Grant County,Nebraska,665,649,660
Greeley County,Nebraska,2401,2377,2356
Hall County,Nebraska,61477,61377,61607
Hamilton County,Nebraska,9157,9210,9280
Harlan County,Nebraska,3452,3428,3401
Hayes County,Nebraska,890,893,916
Hitchcock County,Nebraska,2831,2815,2806
Holt County,Nebraska,10230,10186,10178
Hooker County,Nebraska,683,668,682
Howard County,Nebraska,6407,6414,6468
Jefferson County,Nebraska,7166,7164,7097
Johnson County,Nebraska,5214,5176,5134
Kearney County,Nebraska,6558,6513,6544
Keith County,Nebraska,8092,8078,8021
Keya Paha County,Nebraska,792,793,810
Kimball County,Nebraska,3675,3601,3618
Knox County,Nebraska,8484,8458,8419
Lancaster County,Nebraska,310440,313977,317272
Lincoln County,Nebraska,35501,35314,35185
Logan County,Nebraska,789,762,749
Loup County,Nebraska,615,605,618
McPherson County,Nebraska,503,494,492
Madison County,Nebraska,35036,35272,35392
Merrick County,Nebraska,7834,7861,7733
Morrill County,Nebraska,4865,4808,4686
Nance County,Nebraska,3563,3576,3532
Nemaha County,Nebraska,6971,6961,6958
Nuckolls County,Nebraska,4259,4260,4195
Otoe County,Nebraska,15941,15932,15985
Pawnee County,Nebraska,2698,2633,2632
Perkins County,Nebraska,2898,2894,2929
Phelps County,Nebraska,9187,9042,8996
Pierce County,Nebraska,7142,7108,7142
Platte County,Nebraska,33028,33282,33363
Polk County,Nebraska,5203,5344,5278
Red Willow County,Nebraska,10770,10750,10726
Richardson County,Nebraska,7999,7981,7937
Rock County,Nebraska,1404,1422,1360
Saline County,Nebraska,14227,14357,14350
Sarpy County,Nebraska,178503,181678,184459
Saunders County,Nebraska,20993,21019,21303
Scotts Bluff County,Nebraska,36409,36213,35989
Seward County,Nebraska,17110,17202,17318
Sheridan County,Nebraska,5231,5278,5190
Sherman County,Nebraska,3011,3090,3038
Sioux County,Nebraska,1259,1201,1187
Stanton County,Nebraska,5971,5977,5970
Thayer County,Nebraska,5079,5036,5039
Thomas County,Nebraska,727,730,720
Thurston County,Nebraska,7141,7225,7303
Valley County,Nebraska,4200,4230,4190
Washington County,Nebraska,20227,20351,20667
Wayne County,Nebraska,9395,9260,9403
Webster County,Nebraska,3567,3520,3533
Wheeler County,Nebraska,804,816,805
York County,Nebraska,13738,13770,13772
Churchill County,Nevada,23869,23989,24440
Clark County,Nevada,2140547,2183310,2231647
Douglas County,Nevada,47848,48018,48467
Elko County,Nevada,52123,52371,52460
Esmeralda County,Nevada,826,843,826
Eureka County,Nevada,1936,1950,2003
Humboldt County,Nevada,16792,16702,16786
Lander County,Nevada,5696,5604,5575
Lincoln County,Nevada,5154,5182,5201
Lyon County,Nevada,52726,53915,55808
Mineral County,Nevada,4380,4454,4514
Nye County,Nevada,43289,44051,45346
Pershing County,Nevada,6584,6473,6666
Storey County,Nevada,3992,4003,4029
Washoe County,Nevada,450142,457333,465735
White Pine County,Nevada,9721,9599,9475
Carson City,Nevada,54147,54608,55414
Belknap County,New Hampshire,60700,60845,61022
Carroll County,New Hampshire,47493,48109,48779
Cheshire County,New Hampshire,75950,76185,76493
Coos County,New Hampshire,31903,31584,31589
Grafton County,New Hampshire,89982,89947,89786
Hillsborough County,New Hampshire,411150,413157,415247
Merrimack County,New Hampshire,149150,150169,151132
Rockingham County,New Hampshire,304778,307281,309176
Strafford County,New Hampshire,128175,129421,130090
Sullivan County,New Hampshire,43092,43069,43144
Atlantic County,New Jersey,267813,266328,265429
Bergen County,New Jersey,928979,933569,936692
Burlington County,New Jersey,446108,445196,445384
Camden County,New Jersey,507075,506343,507078
Cape May County,New Jersey,93679,93184,92560
Cumberland County,New Jersey,153355,151748,150972
Essex County,New Jersey,792617,795908,799767
Gloucester County,New Jersey,290647,290850,291408
Hudson County,New Jersey,668928,672922,676061
Hunterdon County,New Jersey,124668,124628,124714
Mercer County,New Jersey,368028,368602,369811
Middlesex County,New Jersey,825907,827684,829685
Monmouth County,New Jersey,623286,622327,621354
Morris County,New Jersey,494046,494225,494228
Ocean County,New Jersey,590990,595470,601651
Passaic County,New Jersey,503853,503694,503310
Salem County,New Jersey,63189,62838,62607
Somerset County,New Jersey,329996,330700,331164
Sussex County,New Jersey,141932,141185,140799
Union County,New Jersey,553343,555273,558067
Warren County,New Jersey,106077,105869,105779
Bernalillo County,New Mexico,678165,678686,678701
Catron County,New Mexico,3522,3567,3578
Chaves County,New Mexico,65697,65153,64689
Cibola County,New Mexico,27043,26895,26746
Colfax County,New Mexico,12280,12206,12110
Curry County,New Mexico,50303,49842,49437
De Baca County,New Mexico,1833,1813,1781
Doña Ana County,New Mexico,214748,216186,217522
Eddy County,New Mexico,57667,57205,57900
Grant County,New Mexico,28043,27692,27346
Guadalupe County,New Mexico,4368,4409,4341
Harding County,New Mexico,687,687,655
Hidalgo County,New Mexico,4326,4305,4240
Lea County,New Mexico,70254,69057,69611
Lincoln County,New Mexico,19399,19483,19556
Los Alamos County,New Mexico,18239,18804,19101
Luna County,New Mexico,24379,24148,23963
McKinley County,New Mexico,73106,72574,72290
Mora County,New Mexico,4539,4542,4506
Otero County,New Mexico,65644,66198,66781
Quay County,New Mexico,8390,8310,8253
Rio Arriba County,New Mexico,39233,39191,39006
Roosevelt County,New Mexico,19143,18905,18743
Sandoval County,New Mexico,140471,142624,145179
San Juan County,New Mexico,127973,126902,125043
San Miguel County,New Mexico,28058,27782,27591
Santa Fe County,New Mexico,148888,149617,150056
Sierra County,New Mexico,11113,11090,10968
Socorro County,New Mexico,16967,16885,16735
Taos County,New Mexico,32960,32862,32835
Torrance County,New Mexico,15515,15593,15591
Union County,New Mexico,4154,4188,4118
Valencia County,New Mexico,75682,75994,76456
Albany County,New York,307628,307717,307117
Allegany County,New York,47039,46688,46430
Bronx County,New York,1445237,1439725,1432132
Broome County,New York,194345,192959,191659
Cattaraugus County,New York,77708,77245,76840
Cayuga County,New York,77666,77463,77145
Chautauqua County,New York,129350,128609,127939
Chemung County,New York,85676,84874,84254
Chenango County,New York,48317,47790,47536
Clinton County,New York,80524,80567,80695
Columbia County,New York,60882,60408,59916
Cortland County,New York,47919,47836,47823
Delaware County,New York,45446,45020,44527
Dutchess County,New York,293049,293450,293718
Erie County,New York,918479,918794,919719
Essex County,New York,37675,37511,37300
Franklin County,New York,51077,50444,50293
Fulton County,New York,53604,53777,53591
Genesee County,New York,58022,57816,57511
Greene County,New York,47525,47474,47491
Hamilton County,New York,4557,4481,4434
Herkimer County,New York,62446,62209,61833
Jefferson County,New York,113015,113063,111755
Kings County,New York,2611232,2596385,2582830
Lewis County,New York,26652,26576,26447
Livingston County,New York,63942,63461,63227
Madison County,New York,71291,70831,70795
Monroe County,New York,743531,742436,742474
Montgomery County,New York,49206,49216,49455
Nassau County,New York,1356463,1357664,1358343
New York County,New York,1636261,1629780,1628701
Niagara County,New York,211534,210866,210433
Oneida County,New York,230348,230127,229577
Onondaga County,New York,464033,461791,461809
Ontario County,New York,109267,109609,109864
Orange County,New York,378047,379803,381951
Orleans County,New York,41196,40759,40612
Oswego County,New York,118881,118426,117898
Otsego County,New York,60119,59903,59749
Putnam County,New York,98812,98966,98892
Queens County,New York,2309032,2296865,2278906
Rensselaer County,New York,159334,159261,159442
Richmond County,New York,474214,475516,476179
Rockland County,New York,323640,324839,325695
St. Lawrence County,New York,109411,108562,108047
Saratoga County,New York,227048,229102,230163
Schenectady County,New York,154473,154814,155350
Schoharie County,New York,31307,31236,31097
Schuyler County,New York,17948,17925,17912
Seneca County,New York,34731,34327,34300
Steuben County,New York,96895,96249,95796
Suffolk County,New York,1486804,1483571,1481093
Sullivan County,New York,74977,75079,75498
Tioga County,New York,48822,48650,48560
Tompkins County,New York,102938,102678,102793
Ulster County,New York,179080,178723,178599
Warren County,New York,64428,64428,64265
Washington County,New York,61767,61489,61197
Wayne County,New York,90754,90372,90064
Westchester County,New York,970556,969279,967612
Wyoming County,New York,40406,40283,40085
Yates County,New York,25023,24952,24841
Alamance County,North Carolina,160392,163529,166436
Alexander County,North Carolina,37142,37146,37353
Alleghany County,North Carolina,10926,11023,11161
Anson County,North Carolina,25182,24878,24877
Ashe County,North Carolina,26611,26803,27109
Avery County,North Carolina,17423,17505,17505
Beaufort County,North Carolina,47370,47051,47079
Bertie County,North Carolina,19432,19274,19026
Bladen County,North Carolina,33704,33468,33190
Brunswick County,North Carolina,126302,130735,136744
Buncombe County,North Carolina,254988,257185,259103
Burke County,North Carolina,89438,90127,90382
Cabarrus County,North Carolina,201470,206724,211342
Caldwell County,North Carolina,81767,81920,82029
Camden County,North Carolina,10402,10561,10710
Carteret County,North Carolina,68811,68919,69524
Caswell County,North Carolina,22765,22632,22698
Catawba County,North Carolina,156471,157811,158652
Chatham County,North Carolina,69646,71248,73139
Cherokee County,North Carolina,27805,27980,28383
Chowan County,North Carolina,14201,14040,14029
Clay County,North Carolina,10743,11001,11139
Cleveland County,North Carolina,97017,97228,97645
Columbus County,North Carolina,56279,55987,55655
Craven County,North Carolina,102760,102754,102912
Cumberland County,North Carolina,333300,331239,332330
Currituck County,North Carolina,25654,26323,27072
Dare County,North Carolina,35765,36115,36501
Davidson County,North Carolina,164394,165313,166614
Davie County,North Carolina,41933,42369,42733
Duplin County,North Carolina,59260,58862,58856
Durham County,North Carolina,307705,311888,316739
Edgecombe County,North Carolina,53277,52757,52005
Forsyth County,North Carolina,371157,375724,379099
Franklin County,North Carolina,64596,66033,67560
Gaston County,North Carolina,216716,219819,222846
Gates County,North Carolina,11567,11515,11573
Graham County,North Carolina,8545,8534,8484
Granville County,North Carolina,58699,59374,60115
Greene County,North Carolina,21080,20980,21012
Guilford County,North Carolina,525055,529496,533670
Halifax County,North Carolina,51811,51282,50574
Harnett County,North Carolina,130631,132229,134214
Haywood County,North Carolina,60389,61036,61971
Henderson County,North Carolina,113723,115457,116748
Hertford County,North Carolina,24216,23926,23659
Hoke County,North Carolina,52973,54141,54764
Hyde County,North Carolina,5440,5267,5230
Iredell County,North Carolina,172552,175628,178435
Jackson County,North Carolina,42573,43192,43327
Johnston County,North Carolina,190868,196423,202675
Jones County,North Carolina,9602,9602,9637
Lee County,North Carolina,59737,60567,61452
Lenoir County,North Carolina,57263,56641,55976
Lincoln County,North Carolina,81118,82365,83770
McDowell County,North Carolina,44882,45164,45507
Macon County,North Carolina,34241,34624,35285
Madison County,North Carolina,21359,21577,21763
Martin County,North Carolina,23122,22776,22671
Mecklenburg County,North Carolina,1056665,1077311,1093901
Mitchell County,North Carolina,14991,14979,15000
Montgomery County,North Carolina,27325,27347,27271
Moore County,North Carolina,95392,97232,98682
Nash County,North Carolina,93968,94012,94016
New Hanover County,North Carolina,224789,228657,232274
Northampton County,North Carolina,20143,19913,19676
Onslow County,North Carolina,192184,194838,197683
Orange County,North Carolina,142991,143960,146027
Pamlico County,North Carolina,12769,12654,12670
Pasquotank County,North Carolina,39431,39476,39639
Pender County,North Carolina,58807,60768,62162
Perquimans County,North Carolina,13408,13460,13422
Person County,North Carolina,39297,39395,39507
Pitt County,North Carolina,177232,178617,179914
Polk County,North Carolina,20388,20518,20611
Randolph County,North Carolina,143146,143149,143351
Richmond County,North Carolina,45021,44825,44887
Robeson County,North Carolina,133384,132590,131831
Rockingham County,North Carolina,91345,90841,90690
Rowan County,North Carolina,139495,140537,141262
Rutherford County,North Carolina,66311,66568,66826
Sampson County,North Carolina,63323,63433,63626
Scotland County,North Carolina,35331,35172,34810
Stanly County,North Carolina,60792,61451,62075
Stokes County,North Carolina,45887,45697,45467
Surry County,North Carolina,71964,72118,71948
Swain County,North Carolina,14193,14266,14245
Transylvania County,North Carolina,33406,33825,34215
Tyrrell County,North Carolina,4025,4183,4131
Union County,North Carolina,226383,231424,235908
Vance County,North Carolina,44500,44312,44582
Wake County,North Carolina,1048381,1071886,1092305
Warren County,North Carolina,19892,19869,19807
Washington County,North Carolina,12122,12019,11859
Watauga County,North Carolina,54095,55088,55945
Wayne County,North Carolina,124448,123257,123248
Wilkes County,North Carolina,68554,68464,68557
Wilson County,North Carolina,81370,81567,81455
Yadkin County,North Carolina,37663,37643,37543
Yancey County,North Carolina,17618,17712,17903
Adams County,North Dakota,2344,2330,2294
Barnes County,North Dakota,10896,10676,10542
Benson County,North Dakota,6835,6935,6962
Billings County,North Dakota,946,920,919
Bottineau County,North Dakota,6577,6536,6411
Bowman County,North Dakota,3223,3156,3076
Burke County,North Dakota,2226,2134,2100
Burleigh County,North Dakota,94566,95158,95273
Cass County,North Dakota,174271,177937,181516
Cavalier County,North Dakota,3824,3795,3829
Dickey County,North Dakota,4968,4841,4903
Divide County,North Dakota,2386,2291,2283
Dunn County,North Dakota,4372,4277,4332
Eddy County,North Dakota,2289,2328,2313
Emmons County,North Dakota,3340,3312,3295
Foster County,North Dakota,3312,3258,3216
Golden Valley County,North Dakota,1857,1785,1769
Grand Forks County,North Dakota,70515,70572,70770
Grant County,North Dakota,2381,2376,2374
Griggs County,North Dakota,2257,2262,2232
Hettinger County,North Dakota,2596,2485,2514
Kidder County,North Dakota,2476,2480,2450
LaMoure County,North Dakota,4109,4096,4062
Logan County,North Dakota,1932,1929,1903
McHenry County,North Dakota,5968,5898,5816
McIntosh County,North Dakota,2604,2615,2585
McKenzie County,North Dakota,12566,12727,13632
McLean County,North Dakota,9641,9650,9541
Mercer County,North Dakota,8619,8466,8267
Morton County,North Dakota,30707,30906,31095
Mountrail County,North Dakota,10220,10273,10218
Nelson County,North Dakota,2881,2909,2869
Oliver County,North Dakota,1896,1937,1952
Pembina County,North Dakota,7050,6978,6947
Pierce County,North Dakota,4217,4113,4081
Ramsey County,North Dakota,11516,11525,11481
Ransom County,North Dakota,5376,5300,5237
Renville County,North Dakota,2518,2459,2374
Richland County,North Dakota,16290,16277,16239
Rolette County,North Dakota,14708,14584,14301
Sargent County,North Dakota,3888,3871,3870
Sheridan County,North Dakota,1342,1356,1349
Sioux County,North Dakota,4452,4417,4358
Slope County,North Dakota,779,768,763
Stark County,North Dakota,30881,30317,30997
Steele County,North Dakota,1912,1909,1903
Stutsman County,North Dakota,21077,21160,20917
Towner County,North Dakota,2255,2258,2192
Traill County,North Dakota,8006,8018,8037
Walsh County,North Dakota,10803,10795,10667
Ward County,North Dakota,69456,68394,67744
Wells County,North Dakota,4061,4032,3957
Williams County,North Dakota,34166,33395,35350
Adams County,Ohio,27828,27805,27724
Allen County,Ohio,103561,103069,102663
Ashland County,Ohio,53506,53685,53745
Ashtabula County,Ohio,98108,97692,97493
Athens County,Ohio,66470,66664,65818
Auglaize County,Ohio,45800,45791,45804
Belmont County,Ohio,68584,67956,67505
Brown County,Ohio,43637,43530,43602
Butler County,Ohio,378443,380843,382378
